Price,No_of_reviews,Rating,Published_Year,Cover_type,Genre,Title,Author,Sales_Rank
12.49,16118.0,4.4,2009,2.0,0.0,The Lost Symbol,Dan Brown,1.0
13.4,23392.0,4.7,2009,5.0,0.0,The Shack: Where Tragedy Confronts Eternity,William P. Young,2.0
9.93,5036.0,4.8,2009,2.0,1.0,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,3.0
14.3,16912.0,4.7,2009,2.0,0.0,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.0
9.99,1572.0,4.6,2009,2.0,1.0,Going Rogue: An American Life,Sarah Palin,5.0
18.29,7082.0,4.299999999999999,2009,2.0,1.0,StrengthsFinder 2.0,Gallup,6.0
12.66,18068.0,4.8,2009,2.0,0.0,The Help,Kathryn Stockett,7.0
17.56,12329.0,4.7,2009,5.0,0.0,New Moon (The Twilight Saga),Stephenie Meyer,8.0
27.862499999999997,6100.0,4.7,2009,2.0,0.0,The Twilight Saga Collection,Stephenie Meyer,9.0
16.04,22209.0,4.7,2009,2.0,1.0,Outliers: The Story of Success,Malcolm Gladwell,10.0
19.62,12771.0,4.7,2009,2.0,0.0,Eclipse (Twilight),Stephenie Meyer,11.0
15.49,22103.0,4.7,2009,5.0,0.0,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,12.0
5.91,1421.0,4.6,2009,5.0,1.0,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,13.0
11.49,3497.0,4.4,2009,5.0,1.0,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,14.0
11.78,3298.0,4.8,2009,5.0,1.0,The Love Dare,Stephen Kendrick,15.0
20.45,7043.0,4.6,2009,2.0,1.0,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,16.0
11.6,7979.0,4.7,2009,2.0,0.0,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,17.0
27.862499999999997,9110.0,4.4,2009,2.0,0.0,Under the Dome: A Novel,Stephen King,18.0
10.42,14884.0,4.7,2009,5.0,0.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,19.0
10.76,929.0,4.5,2009,5.0,1.0,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,20.0
10.5,895.0,4.6,2009,2.0,1.0,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,21.0
27.862499999999997,7568.0,4.8,2009,2.0,1.0,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,22.0
27.862499999999997,995.0,4.7,2009,3.0,0.0,Sookie Stackhouse,Charlaine Harris,23.0
9.99,6592.0,4.5,2009,5.0,0.0,The Time Traveler's Wife,Audrey Niffenegger,24.0
24.29,12674.0,4.5,2009,5.0,1.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,25.0
13.98,509.0,4.5,2009,2.0,1.0,True Compass: A Memoir,Edward M. Kennedy,26.0
